name,address,jibun_address,district,dong,category,description,url,lat,lng
태백전기,서울특별시 강남구 양재대로33길 20,서울특별시 강남구 일원동 678-5,강남구,일원동,가전제품 수리업,,,37.49084265,127.08283933
캐리어공조,서울특별시 강서구 양천로24길 86,서울특별시 강서구 방화동 251-13,강서구,방화동,가전제품 수리업,,,37.56943858,126.81522134
부성전기,서울특별시 광진구 아차산로25길 48,서울특별시 광진구 화양동 35-24,광진구,화양동,가전제품 수리업,,,37.54341688,127.06761021
삼민공구테크,서울특별시 구로구 구로중앙로 30,서울특별시 구로구 구로동 136-21,구로구,구로동,가전제품 수리업,,,37.49263267,126.89126372
금성전파사,서울특별시 노원구 석계로3길 36,서울특별시 노원구 월계동 486-6,노원구,월계동,가전제품 수리업,,,37.61642695,127.06299839
부영전자,서울특별시 도봉구 도당로27길 35,서울특별시 도봉구 방학동 646-40,도봉구,방학동,가전제품 수리업,,,37.66891904,127.04081569
혜성카에어컨,서울특별시 동대문구 한천로2길 31,서울특별시 동대문구 장안동 409-4,동대문구,장안동,가전제품 수리업,,,37.56304458,127.06027093
대원전기,서울특별시 동작구 사당로16가길 46,서울특별시 동작구 사당동 267-36,동작구,사당동,가전제품 수리업,,,37.48366909,126.97107797
효성전파사,서울특별시 마포구 성지1길 10,서울특별시 마포구 합정동 372-19,마포구,합정동,가전제품 수리업,,,37.54818917,126.9139287
세일전파사,서울특별시 서초구 사평대로53길 44,서울특별시 서초구 반포동 734-20,서초구,반포동,가전제품 수리업,,,37.50624095,127.02124
엠투브이에스,서울특별시 성동구 광나루로 278,서울특별시 성동구 성수동2가 280-35,성동구,성수동2가,가전제품 수리업,,,37.54814209,127.06027025
중앙전기,서울특별시 성동구 장터길 23-1,서울특별시 성동구 금호동3가 1299,성동구,금호동3가,가전제품 수리업,,,37.5484263,127.01861527
크린에어시스템,서울특별시 양천구 곰달래로5길 62,서울특별시 양천구 신월동 98-39,양천구,신월동,가전제품 수리업,,,37.53487412,126.8318254
은평베스트공조시스템,서울특별시 은평구 진흥로5길 13,서울특별시 은평구 역촌동 40-6,은평구,역촌동,가전제품 수리업,,,37.60264925,126.91957353
범한전기,서울특별시 종로구 자하문로 55,서울특별시 종로구 통인동 5-1,종로구,통인동,가전제품 수리업,,,37.58100419,126.97082526
빛나리전기,서울특별시 종로구 자하문로7길 51,서울특별시 종로구 누하동 34-1,종로구,누하동,가전제품 수리업,,,37.57965233,126.96939934
진흥에너텍,서울특별시 중구 청구로 102,서울특별시 중구 신당동 391-7,중구,신당동,가전제품 수리업,,,37.56123942,127.01126162
아주공조시스템,서울특별시 중랑구 동일로126길 9,서울특별시 중랑구 중화동 293-12,중랑구,중화동,가전제품 수리업,,,37.59888289,127.08073948
진흥전자,서울특별시 중랑구 동일로151길 6,서울특별시 중랑구 묵동 244-158,중랑구,묵동,가전제품 수리업,,,37.6083183,127.07769184
토탈전자,서울특별시 중랑구 용마산로 537,서울특별시 중랑구 망우동 466-1,중랑구,망우동,가전제품 수리업,,,37.5989581,127.10017141
에어키퍼,서울특별시 강동구 양재대로85길 69,서울특별시 강동구 성내동 446-32,강동구,성내동,가전제품 수리업,,,37.52508247,127.13082058
금성전기,서울특별시 강북구 오패산로 398,서울특별시 강북구 번동 415-49,강북구,번동,가전제품 수리업,,,37.63675776,127.02771234
신성전파사,서울특별시 관악구 신원로 7,서울특별시 관악구 신림동 1628-82,관악구,신림동,가전제품 수리업,,,37.48001051,126.92781152
민공구,서울특별시 동대문구 한천로10길 10,서울특별시 동대문구 장안동 219-1,동대문구,장안동,가전제품 수리업,,,37.56554856,127.06181231
성산공조,서울특별시 서대문구 가재울로2길 3,서울특별시 서대문구 남가좌동 333-11,서대문구,남가좌동,가전제품 수리업,,,37.5740718,126.92261543
거성전자,서울특별시 서초구 효령로46길 5,서울특별시 서초구 서초동 1485-1,서초구,서초동,가전제품 수리업,,,37.4833299,127.00906777
금성전기,서울특별시 성북구 정릉로38바길 15,서울특별시 성북구 정릉동 16-117,성북구,정릉동,가전제품 수리업,,,37.6011884,127.0195117
수정보통신,서울특별시 양천구 남부순환로40길 69-19,서울특별시 양천구 신월동 194-11,양천구,신월동,가전제품 수리업,,,37.53206412,126.82637847
알에이치공조,서울특별시 도봉구 도당로2길 56-5,서울특별시 도봉구 쌍문동 31-9,도봉구,쌍문동,가전제품 수리업,,,37.65922524,127.0385891
세아냉동,서울특별시 강동구 천중로34길 7,서울특별시 강동구 천호동 123-15,강동구,천호동,가전제품 수리업,,,37.54123099,127.13649506
한남전기,서울특별시 용산구 대사관로30가길 3,서울특별시 용산구 한남동 619-7,용산구,한남동,가전제품 수리업,,,37.53210153,127.00534012
청년에어컨,서울특별시 관악구 난우길 52,서울특별시 관악구 신림동 591-2,관악구,신림동,가전제품 수리업,,,37.47717424,126.91700617
삼성에어컨케어,서울특별시 동대문구 답십리로48가길 25,서울특별시 동대문구 답십리동 48-4,동대문구,답십리동,가전제품 수리업,,,37.5711271,127.05911151
현대전자,서울특별시 서대문구 독립문로 30,서울특별시 서대문구 옥천동 45-11,서대문구,옥천동,가전제품 수리업,,,37.56936058,126.96124224
다인테크,서울특별시 은평구 역말로 89,서울특별시 은평구 역촌동 3-43,은평구,역촌동,가전제품 수리업,,,37.60765862,126.91937561
그린냉난방설비,서울특별시 동대문구 신이문로 30-1,서울특별시 동대문구 이문동 237-128,동대문구,이문동,가전제품 수리업,,,37.60287469,127.06553497
태성음향,서울특별시 용산구 청파로 77,서울특별시 용산구 한강로3가 16-20,용산구,한강로3가,가전제품 수리업,,,37.53335657,126.96086489
월드애드,서울특별시 은평구 연서로 51-1,서울특별시 은평구 역촌동 63-52,은평구,역촌동,가전제품 수리업,,,37.60370039,126.91525771
흥신산업,서울특별시 마포구 방울내로 82,서울특별시 마포구 망원동 476-1,마포구,망원동,가전제품 수리업,,,37.56057051,126.90435066
불개미공조,서울특별시 광진구 긴고랑로46가길 33,서울특별시 광진구 중곡동 73-71,광진구,중곡동,가전제품 수리업,,,37.55859755,127.09537519
캐리어에어컨시스템,서울특별시 영등포구 선유로27길 4-1,서울특별시 영등포구 양평동1가 116-42,영등포구,양평동1가,가전제품 수리업,,,37.52462615,126.88998422
대호공조,서울특별시 강서구 화곡로27가길 12,서울특별시 강서구 화곡동 1063-4,강서구,화곡동,가전제품 수리업,,,37.54249159,126.84124531
삼우전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
대유위니아서비스,서울특별시 송파구 문정로19길 11,서울특별시 송파구 오금동 147,송파구,오금동,가전제품 수리업,,,37.49932117,127.14008281
범양냉동공사,서울특별시 중랑구 봉화산로19길 8-4,서울특별시 중랑구 중화동 111-2,중랑구,중화동,가전제품 수리업,,,37.6019549,127.08128637
청우냉열,서울특별시 중랑구 겸재로54길 26,서울특별시 중랑구 면목동 106-11,중랑구,면목동,가전제품 수리업,,,37.58804497,127.09169905
에어컨띠고달고,서울특별시 성북구 종암로19길 66,서울특별시 성북구 종암동 62-35,성북구,종암동,가전제품 수리업,,,37.59819463,127.03108385
금호전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
삼성전파사,서울특별시 은평구 서오릉로 109,서울특별시 은평구 역촌동 2-35,은평구,역촌동,가전제품 수리업,,,37.60953283,126.91961142
현대보수,서울특별시 서초구 서리풀4길 15-4,서울특별시 서초구 서초동 1613-16,서초구,서초동,가전제품 수리업,,,37.48826579,127.02165327
토탈가전수리,서울특별시 금천구 벚꽃로24길 26,서울특별시 금천구 가산동 219-6,금천구,가산동,가전제품 수리업,,,37.47408764,126.88881479
동성전자,서울특별시 용산구 청파로 74,서울특별시 용산구 한강로3가 16-9,용산구,한강로3가,가전제품 수리업,,,37.5327885,126.95956408
영전파사,서울특별시 송파구 올림픽로32길 49,서울특별시 송파구 방이동 102-2,송파구,방이동,가전제품 수리업,,,37.51268634,127.11163833
을지공조시스템,서울특별시 중구 퇴계로51길 7,서울특별시 중구 충무로5가 2-4,중구,충무로5가,가전제품 수리업,,,37.56344739,127.00160723
광진전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
명랑전파사,서울특별시 중구 동호로11길 43,서울특별시 중구 신당동 363-10,중구,신당동,가전제품 수리업,,,37.55333786,127.00906493
선영시스템,서울특별시 중랑구 상봉중앙로8길 18-13,서울특별시 중랑구 상봉동 237-10,중랑구,상봉동,가전제품 수리업,,,37.60156188,127.08903178
원에어서비스,서울특별시 서초구 효령로20길 25,서울특별시 서초구 방배동 539-35,서초구,방배동,가전제품 수리업,,,37.47877995,126.99309218
양지전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
삼성에어컨시스템,서울특별시 강남구 일원로5길 68,서울특별시 강남구 일원동 655,강남구,일원동,가전제품 수리업,,,37.49237248,127.08547574
윤강엔지니어링,서울특별시 광진구 면목로17길 43,서울특별시 광진구 중곡동 578-3,광진구,중곡동,가전제품 수리업,,,37.57058268,127.08077684
시원한바람,서울특별시 광진구 동일로80길 31,서울특별시 광진구 중곡동 575-4,광진구,중곡동,가전제품 수리업,,,37.57014955,127.08172722
아이유TV,서울특별시 동대문구 사가정로 226,서울특별시 동대문구 장안동 102-1,동대문구,장안동,가전제품 수리업,,,37.57856336,127.07000803
동진전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
두성산업,서울특별시 성동구 고산자로18길 5-1,서울특별시 성동구 마장동 514-4,성동구,마장동,가전제품 수리업,,,37.56722557,127.03768134
삼흥전기모타,서울특별시 관악구 남부순환로 1777-6,서울특별시 관악구 봉천동 884-39,관악구,봉천동,가전제품 수리업,,,37.4820214,126.948093
핸디맨닥터,서울특별시 광진구 뚝섬로56길 41,서울특별시 광진구 자양동 665-15,광진구,자양동,가전제품 수리업,,,37.52965794,127.08280305
박대리에어컨,서울특별시 강남구 광평로56길 10,서울특별시 강남구 수서동 726,강남구,수서동,가전제품 수리업,,,37.48706892,127.10376444
경남시스템,서울특별시 은평구 갈현로35길 4-4,서울특별시 은평구 갈현동 434-13,은평구,갈현동,가전제품 수리업,,,37.62121635,126.9163026
유피아이워터,서울특별시 용산구 후암로 52,서울특별시 용산구 후암동 27-14,용산구,후암동,가전제품 수리업,,,37.55060602,126.97738943
삼성공조시스템,서울특별시 금천구 시흥대로152길 11-43,서울특별시 금천구 독산동 953,금천구,독산동,가전제품 수리업,,,37.47854911,126.90057743
강북냉열,서울특별시 중랑구 중랑천로 362-1,서울특별시 중랑구 묵동 233-90,중랑구,묵동,가전제품 수리업,,,37.61620348,127.07534412
보성전자,서울특별시 종로구 혜화로 19-1,서울특별시 종로구 명륜1가 36-52,종로구,명륜1가,가전제품 수리업,,,37.58737781,126.99978488
우리에프에스서비스,서울특별시 구로구 구로중앙로27나길 20-1,서울특별시 구로구 구로동 450-1,구로구,구로동,가전제품 수리업,,,37.49661827,126.88507222
우성미터,서울특별시 송파구 마천로11길 3,서울특별시 송파구 오금동 25-7,송파구,오금동,가전제품 수리업,,,37.5065033,127.13126317
은성공조시스템,서울특별시 강남구 논현로8길 25,서울특별시 강남구 개포동 1184-23,강남구,개포동,가전제품 수리업,,,37.47464261,127.05079399
한양전자,서울특별시 구로구 개봉로 21-1,서울특별시 구로구 개봉동 403-89,구로구,개봉동,가전제품 수리업,,,37.48765747,126.85602672
효림공조,서울특별시 강동구 구천면로64길 6,서울특별시 강동구 천호동 18-47,강동구,천호동,가전제품 수리업,,,37.55029107,127.13988392
위니아서비스마포,서울특별시 양천구 목동로13길 10,서울특별시 양천구 신정동 1005-17,양천구,신정동,가전제품 수리업,,,37.52373329,126.86327663
훼밀리냉난방시스템,서울특별시 양천구 남부순환로33길 47,서울특별시 양천구 신월동 62-9,양천구,신월동,가전제품 수리업,,,37.53852402,126.8324282
상승공조,서울특별시 성북구 오패산로3길 162-17,서울특별시 성북구 하월곡동 81-288,성북구,하월곡동,가전제품 수리업,,,37.60934825,127.03342154
삼강에너지,서울특별시 도봉구 우이천로4라길 11-7,서울특별시 도봉구 창동 500-6,도봉구,창동,가전제품 수리업,,,37.63360912,127.04196328
더위탈출넘버원,서울특별시 성북구 한천로86길 18,서울특별시 성북구 장위동 6-62,성북구,장위동,가전제품 수리업,,,37.61469857,127.06008607
에어솔루션,서울특별시 동대문구 제기로 143,서울특별시 동대문구 청량리동 48-12,동대문구,청량리동,가전제품 수리업,,,37.58641259,127.04900171
신진냉동,서울특별시 강동구 고덕로83길 116,서울특별시 강동구 고덕동 161-4,강동구,고덕동,가전제품 수리업,,,37.56162425,127.16851766
재일전자,서울특별시 서초구 효령로 304,서울특별시 서초구 서초동 1445-3,서초구,서초동,가전제품 수리업,,,37.48473448,127.01780799
블루시스템공조,서울특별시 도봉구 시루봉로 282-1,서울특별시 도봉구 도봉동 609-28,도봉구,도봉동,가전제품 수리업,,,37.67088334,127.04035204
안성전자,서울특별시 종로구 창경궁로 109,서울특별시 종로구 인의동 112-2,종로구,인의동,가전제품 수리업,,,37.5723492,126.99707947
제일보수,서울특별시 영등포구 도신로60길 7,서울특별시 영등포구 신길동 116-15,영등포구,신길동,가전제품 수리업,,,37.51107052,126.91757943
대성전자,서울특별시 성북구 종암로36길 13,서울특별시 성북구 하월곡동 90-76,성북구,하월곡동,가전제품 수리업,,,37.60586174,127.03228749
남부상사,서울특별시 영등포구 도림천로21길 33,서울특별시 영등포구 대림동 992-6,영등포구,대림동,가전제품 수리업,,,37.48838111,126.90297284
태양전자,서울특별시 강서구 우장산로2길 49,서울특별시 강서구 내발산동 703,강서구,내발산동,가전제품 수리업,,,37.55253225,126.83722915
삼성크린공조,서울특별시 강동구 상암로4길 66,서울특별시 강동구 천호동 317-11,강동구,천호동,가전제품 수리업,,,37.54764032,127.12546219
보일러C,서울특별시 은평구 서오릉로21길 41,서울특별시 은평구 구산동 384,은평구,구산동,가전제품 수리업,,,37.612839,126.9067415
현대전파사,서울특별시 중구 동호로12길 69,서울특별시 중구 신당동 375-21,중구,신당동,가전제품 수리업,,,37.55830213,127.01170257
대광전기냉동,서울특별시 서초구 방배로13길 31,서울특별시 서초구 방배동 913-31,서초구,방배동,가전제품 수리업,,,37.48251022,126.99484432
예준시스템,서울특별시 은평구 증산로7길 28-3,서울특별시 은평구 증산동 205-32,은평구,증산동,가전제품 수리업,,,37.58515145,126.90660622
중고가전재활용,서울특별시 중랑구 용마산로100길 33-14,서울특별시 중랑구 망우동 435-9,중랑구,망우동,가전제품 수리업,,,37.59166894,127.10033148
하이테크전자,서울특별시 관악구 은천로 86,서울특별시 관악구 봉천동 1708-1,관악구,봉천동,가전제품 수리업,,,37.48555168,126.94441585
홈무빙토탈서비스,서울특별시 중랑구 중랑역로 234-1,서울특별시 중랑구 묵동 234-37,중랑구,묵동,가전제품 수리업,,,37.61432033,127.07547814
현대전파사,서울특별시 구로구 개봉로3길 36,서울특별시 구로구 개봉동 358-16,구로구,개봉동,가전제품 수리업,,,37.48642094,126.85427652
신흥전파사,서울특별시 금천구 금하로 647,서울특별시 금천구 시흥동 879-94,금천구,시흥동,가전제품 수리업,,,37.45420584,126.90303961
신도음향,서울특별시 종로구 종로26길 14-4,서울특별시 종로구 장사동 104-2,종로구,장사동,가전제품 수리업,,,37.56975425,126.99467983
만물전자,서울특별시 용산구 장문로45길 75,서울특별시 용산구 보광동 264-56,용산구,보광동,가전제품 수리업,,,37.52920943,127.00015839
진흥전기,서울특별시 중구 충무로13길 18,서울특별시 중구 입정동 255-2,중구,입정동,가전제품 수리업,,,37.56779891,126.99161247
세명전자,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
세기냉동,서울특별시 은평구 통일로68길 20,서울특별시 은평구 불광동 271-1,은평구,불광동,가전제품 수리업,,,37.61301755,126.93048068
홍성전파사철물,서울특별시 서대문구 홍은중앙로 39,서울특별시 서대문구 홍은동 48-62,서대문구,홍은동,가전제품 수리업,,,37.59478092,126.94665598
AntiphonAudio연구소,서울특별시 서초구 반포대로14길 54,서울특별시 서초구 서초동 1588-1,서초구,서초동,가전제품 수리업,,,37.48594236,127.01386219
신상미싱,서울특별시 금천구 시흥대로145길 11,서울특별시 금천구 독산동 148-20,금천구,독산동,가전제품 수리업,,,37.47325606,126.89579116
믿음전자,서울특별시 노원구 한글비석로24라길 4,서울특별시 노원구 상계동 156-135,노원구,상계동,가전제품 수리업,,,37.66304717,127.07295471
삼일종합상사,서울특별시 성동구 왕십리로 379-1,서울특별시 성동구 하왕십리동 891-1,성동구,하왕십리동,가전제품 수리업,,,37.56457032,127.0280025
JH공조,서울특별시 중구 동호로10길 30,서울특별시 중구 신당동 842,중구,신당동,가전제품 수리업,,,37.5542835,127.01339952
제이앤엘시스템,서울특별시 관악구 남현4길 19-10,서울특별시 관악구 남현동 1081-43,관악구,남현동,가전제품 수리업,,,37.47465105,126.97578439
나린전자,서울특별시 동작구 매봉로4길 17,서울특별시 동작구 상도동 1-38,동작구,상도동,가전제품 수리업,,,37.50861217,126.95301718
지이가전써비스,서울특별시 도봉구 노해로62길 101,서울특별시 도봉구 창동 676-70,도봉구,창동,가전제품 수리업,,,37.64697165,127.03926264
엘지공조,서울특별시 강동구 천중로 114,서울특별시 강동구 천호동 214-47,강동구,천호동,가전제품 수리업,,,37.54423433,127.133864
중앙설비,서울특별시 강서구 남부순환로3길 4,서울특별시 강서구 공항동 65-1,강서구,공항동,가전제품 수리업,,,37.55875996,126.80842307
장미전자수리,서울특별시 송파구 올림픽로35길 112,서울특별시 송파구 신천동 7,송파구,신천동,가전제품 수리업,,,37.51788501,127.10180493
장미디어,서울특별시 종로구 청계천로 159,서울특별시 종로구 장사동 116-4,종로구,장사동,가전제품 수리업,,,37.56928575,126.99523452
카파공조,서울특별시 강북구 도봉로 137-1,서울특별시 강북구 미아동 322-26,강북구,미아동,가전제품 수리업,,,37.62117965,127.02796709
설민공조시스템,서울특별시 은평구 불광로18가길 12,서울특별시 은평구 불광동 181-3,은평구,불광동,가전제품 수리업,,,37.62286663,126.93269171
푸른전자,서울특별시 성동구 성덕정길 141,서울특별시 성동구 성수동2가 228-5,성동구,성수동2가,가전제품 수리업,,,37.53658287,127.05907292
미래공조,서울특별시 강서구 개화동로23길 21,서울특별시 강서구 방화동 648-44,강서구,방화동,가전제품 수리업,,,37.56689338,126.80685153
오성에어컨,서울특별시 은평구 연서로19길 16-4,서울특별시 은평구 갈현동 475-9,은평구,갈현동,가전제품 수리업,,,37.61407127,126.9159595
삼성전기,서울특별시 양천구 목동중앙본로 39,서울특별시 양천구 목동 748-3,양천구,목동,가전제품 수리업,,,37.53953423,126.86891656
굿데이공조,서울특별시 용산구 회나무로12가길 8,서울특별시 용산구 이태원동 222-6,용산구,이태원동,가전제품 수리업,,,37.5382821,126.99008829
제일전자,서울특별시 강남구 남부순환로 2917,서울특별시 강남구 대치동 626,강남구,대치동,가전제품 수리업,,,37.49316345,127.05916309
이대전기,서울특별시 영등포구 영등포로 219,서울특별시 영등포구 영등포동5가 20-62,영등포구,영등포동5가,가전제품 수리업,,,37.52014379,126.90575973
명성전자,서울특별시 구로구 구로동로15길 19,서울특별시 구로구 구로동 717-36,구로구,구로동,가전제품 수리업,,,37.48776897,126.88362716
벨로즈,서울특별시 용산구 녹사평대로32길 9,서울특별시 용산구 이태원동 34-91,용산구,이태원동,가전제품 수리업,,,37.53367793,126.98941005
